City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Wind Speed
pahrump,40,US,22,1559251320,36.21,-115.98,91.0,8.05
shingu,100,JP,51,1559251389,33.72,135.99,54.44,3.6
odienne,100,CI,87,1559251389,9.51,-7.57,77.3,4.99
adrar,40,DZ,11,1559251390,27.87,-0.29,95.0,11.41
redford,75,GB,93,1559251390,56.59,-2.71,48.2,8.05
havelock,20,US,52,1559251362,34.88,-76.9,93.99,12.75
pinega,0,RU,53,1559251390,64.7,43.39,45.26,5.48
walvis bay,0,NA,87,1559251390,-22.95,14.51,57.99,4.7
tuktoyaktuk,20,CA,48,1559251390,69.44,-133.03,42.8,16.11
omsukchan,100,RU,40,1559251391,62.53,155.8,56.6,5.66
kukuna,40,SL,78,1559251391,8.64,-12.57,82.4,8.05
tezu,0,IN,49,1559251391,27.93,96.16,71.9,4.34
lavrentiya,99,RU,80,1559251391,65.58,-170.99,35.9,8.84
atambua,48,ID,73,1559251391,-9.11,124.89,81.44,18.86
santa cruz cabralia,20,BR,74,1559251384,-16.28,-39.02,78.8,5.82
fergus falls,1,US,30,1559251392,46.28,-96.08,87.8,9.17
ancud,90,CL,93,1559251392,-41.87,-73.83,51.8,12.75
saint anthony,1,US,28,1559251392,43.97,-111.68,71.01,3.36
lithakia,0,GR,88,1559251392,37.72,20.83,70.0,6.87
caconda,9,AO,47,1559251392,-13.73,15.06,62.0,3.22
roebourne,0,AU,28,1559251392,-20.77,117.15,68.3,15.5
bonavista,0,CA,84,1559251393,48.65,-53.11,41.0,4.0
dingle,40,PH,87,1559251393,11.0,122.67,77.48,5.59
boyolangu,58,ID,94,1559251393,-8.09,111.9,69.92,6.15
chesley,90,CA,87,1559251393,44.3,-81.09,66.0,11.41
ambilobe,53,MG,92,1559251393,-13.19,49.05,71.18,4.5
lima,90,PE,72,1559251394,-12.06,-77.04,68.0,5.82
touros,40,BR,83,1559251394,-5.2,-35.46,80.6,8.05
narsaq,0,GL,15,1559251394,60.91,-46.05,59.0,13.87
sabha,7,LY,25,1559251394,27.03,14.43,92.42,21.99
casa nova,30,BR,76,1559251395,-11.77,-39.23,74.96,7.34
kokopo,49,PG,88,1559251395,-4.34,152.27,75.32,2.21
nanortalik,0,GL,64,1559251395,60.14,-45.24,40.58,4.47
tangi,20,PK,32,1559251395,34.3,71.65,82.4,4.7
saint-joseph,0,FR,67,1559251396,43.56,6.97,66.2,3.36
aasiaat,0,GL,75,1559251396,68.71,-52.87,38.06,4.68
margate,75,AU,81,1559251149,-43.03,147.26,52.0,6.93
marsa matruh,40,EG,88,1559251396,31.35,27.25,71.6,11.41
gat,0,SN,83,1559251396,14.69,-16.54,71.6,20.8
kitimat,75,CA,36,1559251396,54.02,-128.69,78.8,2.24
alofi,75,NU,88,1559251397,-19.06,-169.92,77.0,6.93
codrington,0,AU,80,1559251397,-28.95,153.24,41.0,3.36
angoche,71,MZ,77,1559251397,-16.23,39.91,71.9,7.45
nguruka,23,TZ,68,1559251398,-5.11,31.04,69.38,2.66
ulkan,82,RU,89,1559251398,57.24,107.32,46.88,2.39
sirvintos,0,LT,54,1559251398,55.05,24.95,53.6,1.12
lerum,75,SE,93,1559251399,57.77,12.27,54.0,17.22
clyde river,20,CA,80,1559251399,70.47,-68.59,35.6,3.36
buchanan,75,LR,88,1559251399,5.88,-10.05,80.6,14.16
saint-pierre,20,FR,87,1559251399,48.95,4.24,59.0,4.7
vavuniya,100,LK,80,1559251400,8.76,80.5,81.08,7.14
kirkkonummi,0,FI,57,1559251400,60.12,24.44,53.01,12.75
ahipara,100,NZ,81,1559251400,-35.17,173.16,63.08,28.68
bang lamung,20,TH,74,1559251400,12.97,100.91,87.01,6.93
veraval,40,FR,82,1559251400,49.65,0.71,59.0,13.22
geraldton,75,CA,32,1559251401,49.72,-86.95,55.4,9.17
castro,90,CL,93,1559251401,-42.48,-73.76,51.8,12.75
avera,40,US,32,1559251401,33.19,-82.53,98.6,13.87
west islip,90,US,87,1559251402,40.71,-73.31,66.0,9.17
washington,20,US,88,1559251152,38.9,-77.04,75.2,8.05
komsomolskiy,0,RU,95,1559251402,67.55,63.78,20.24,5.1
tuy hoa,100,VN,87,1559251402,13.08,109.3,75.68,1.86
amapa,20,HN,42,1559251403,15.09,-87.97,98.6,6.93
college,1,US,35,1559251403,64.86,-147.8,71.01,4.7
pavlodar,0,KZ,75,1559251403,52.28,76.96,46.4,2.24
mana,75,RS,93,1559251403,43.52,20.24,57.2,2.24
vanimo,54,PG,77,1559251403,-2.67,141.3,82.7,10.76
waingapu,91,ID,81,1559251403,-9.65,120.26,72.98,11.3
byron bay,0,AU,30,1559251404,-28.65,153.62,53.6,8.05
klaksvik,63,FO,80,1559251404,62.23,-6.59,39.2,13.87
zabol,0,IR,42,1559251404,31.03,61.49,80.6,20.8
kamaishi,100,JP,72,1559251404,39.28,141.86,52.28,2.01
kizilskoye,3,RU,80,1559251404,52.73,58.89,58.94,4.65
visby,75,SE,54,1559251405,57.64,18.3,55.4,27.51
dalnerechensk,100,RU,69,1559251405,45.93,133.72,53.18,13.94
eyrarbakki,0,IS,49,1559251405,63.86,-21.15,52.0,5.82
kargopol,0,RU,63,1559251405,61.51,38.95,44.54,4.43
cabo rojo,1,PR,61,1559251406,18.09,-67.15,82.4,6.93
skagen,100,SE,93,1559251406,58.6,13.44,55.4,12.75
bourg-les-valence,0,FR,67,1559251406,44.96,4.91,63.0,12.75
cap-aux-meules,40,CA,66,1559251406,47.38,-61.86,50.0,9.17
tallahassee,40,US,38,1559251120,30.44,-84.28,96.8,14.99
barra do garcas,20,BR,43,1559251406,-15.89,-52.26,91.4,11.41
san policarpo,91,PH,75,1559251407,12.18,125.51,84.14,4.29
polovinnoye,0,RU,63,1559251407,54.79,65.99,57.5,8.84
beira,0,ES,68,1559251407,43.2,-8.36,73.0,2.24
muli,0,IN,56,1559251407,22.62,71.45,87.02,14.45
saint-augustin,0,FR,68,1559251408,44.83,-0.61,64.99,6.93
boa vista,99,BR,55,1559251409,2.82,-60.67,90.44,8.28
zhigansk,0,RU,75,1559251409,66.77,123.37,38.6,14.54
nanchang,100,CN,96,1559251409,28.68,115.89,65.78,1.21
nanakuli,1,US,48,1559251409,21.39,-158.15,89.6,10.29
eydhafushi,100,MV,80,1559251410,5.1,73.07,83.6,12.35
chinhoyi,0,ZW,50,1559251410,-17.36,30.19,57.5,7.09
rohnert park,1,US,73,1559251410,38.34,-122.7,81.0,11.41
saldanha,0,PT,38,1559251410,41.42,-6.55,70.82,3.94
leningradskiy,86,RU,98,1559251410,69.38,178.42,32.66,2.89
mentougou,0,CN,22,1559251410,39.94,116.09,64.99,8.95
blagoyevo,23,RU,60,1559251411,63.37,47.92,48.14,7.7
port hedland,0,AU,51,1559251411,-20.31,118.58,59.0,10.29
balanacan,100,PH,92,1559251411,13.53,121.87,78.01,3.0
ejura,100,GH,91,1559251411,7.38,-1.37,75.86,7.85
coos bay,90,US,77,1559251411,43.37,-124.22,64.0,13.87
pisco,0,PE,30,1559251287,-13.71,-76.2,71.6,11.41
tiznit,0,MA,87,1559251412,29.7,-9.73,67.58,1.45
tayu,75,JP,77,1559251412,35.06,136.67,68.0,3.36
usinsk,97,RU,77,1559251412,66.0,57.56,36.8,9.95
gao,1,ML,9,1559251118,16.28,-0.04,100.7,8.81
mundo nuevo,75,CL,77,1559251412,-32.72,-71.41,60.8,9.17
ahuimanu,40,US,40,1559251413,21.44,-157.84,89.6,13.87
rochester,1,US,31,1559251376,44.02,-92.46,81.0,5.61
carauari,94,BR,64,1559251413,-4.88,-66.9,87.74,0.78
douentza,87,ML,11,1559251413,15.01,-2.95,102.68,3.18
puerto carreno,100,CO,90,1559251413,6.19,-67.49,76.04,4.79
palana,96,RU,72,1559251414,59.08,159.95,47.78,4.05
ushtobe,49,KZ,27,1559251414,45.25,77.98,69.92,1.28
mhango,100,TZ,49,1559251414,-2.75,33.92,74.6,4.05
brownsville,75,US,63,1559251414,25.91,-97.49,93.2,12.75
altotting,40,DE,87,1559251414,48.23,12.68,55.0,9.17
hualmay,100,PE,94,1559251415,-11.1,-77.61,61.46,13.58
maningrida,67,AU,49,1559251415,-12.05,134.23,74.24,14.52
port lincoln,100,AU,72,1559251415,-34.72,135.86,56.42,8.01
denpasar,20,ID,78,1559251265,-8.65,115.22,80.6,11.41
mogok,4,MM,95,1559251415,22.92,96.51,67.76,3.4
mahajanga,20,MG,83,1559251416,-15.72,46.32,77.0,5.84
fivizzano,0,IT,87,1559251411,44.24,10.13,62.01,2.24
tulun,0,RU,61,1559251416,54.56,100.58,51.38,4.56
gizo,0,IL,50,1559251416,31.8,34.94,78.8,4.7
alberdi,90,AR,88,1559251416,-26.19,-58.14,68.0,4.7
san patricio,100,PY,99,1559251417,-26.98,-56.83,64.7,3.04
penne,75,IT,82,1559251417,42.45,13.93,62.01,1.12
dosso,6,NE,22,1559251417,13.05,3.19,101.78,7.54
pocos de caldas,20,BR,60,1559251368,-21.79,-46.56,73.4,4.72
bundaberg,33,AU,50,1559251418,-24.87,152.35,54.0,5.82
buala,100,SB,80,1559251418,-8.15,159.59,81.98,15.68
kaseda,72,JP,77,1559251418,31.42,130.32,69.01,6.96
dandong,0,CN,80,1559251419,40.12,124.37,56.6,4.36
carutapera,100,BR,93,1559251419,-1.2,-46.02,78.2,5.88
tessalit,0,ML,8,1559251419,20.2,1.01,95.3,10.33
beringovskiy,0,RU,65,1559251419,63.05,179.32,43.82,5.3
srednekolymsk,89,RU,48,1559251419,67.46,153.71,63.26,5.48
henderson,75,US,20,1559251223,36.04,-114.98,84.99,14.99
nome,1,US,62,1559251420,30.04,-94.42,89.01,5.82
virginia beach,75,US,30,1559251420,36.85,-75.98,98.6,12.75
rohru,0,IN,28,1559251420,31.2,77.75,56.78,7.27
pimentel,64,BR,96,1559251420,-3.7,-45.5,76.4,2.75
cobija,75,BR,66,1559251420,-11.02,-68.77,89.6,4.7
yumen,0,CN,22,1559251421,40.29,97.04,62.18,8.16
surgut,0,RU,100,1559251421,61.25,73.4,30.2,4.47
ishigaki,1,JP,85,1559251421,24.34,124.16,80.54,7.7
axim,100,GH,85,1559251421,4.87,-2.24,78.38,7.67
santo tomas,100,PH,84,1559251421,17.4,121.77,76.76,2.35
san andres,62,PH,86,1559251422,13.32,122.68,79.82,2.95
farah,0,AF,27,1559251422,32.37,62.11,82.16,7.02
arlit,27,NE,8,1559251423,18.74,7.39,93.5,2.06
churapcha,100,RU,66,1559251423,62.0,132.43,49.76,7.61
ketchikan,1,US,48,1559251423,55.34,-131.65,66.2,14.99
dengzhou,0,CN,68,1559251423,32.69,112.08,65.24,2.21
hobyo,100,SO,69,1559251424,5.35,48.53,83.6,24.38
bara,98,NG,53,1559251424,10.41,10.6,83.06,4.38
dutlwe,0,BW,28,1559251424,-23.98,23.93,58.94,9.13
moctezuma,0,MX,15,1559251425,29.81,-109.68,83.78,12.46
saquena,86,PE,50,1559251425,-4.67,-73.52,91.16,1.36
bolgatanga,53,GH,34,1559251425,10.79,-0.85,96.56,5.59
geelong,90,AU,100,1559251425,-38.15,144.36,55.0,12.75
mount gambier,90,AU,100,1559251425,-37.83,140.78,51.8,11.41
zhangye,100,CN,46,1559251426,38.94,100.46,55.16,6.35
hirara,0,JP,86,1559251426,24.8,125.28,79.64,11.43
vikhorevka,20,RU,54,1559251426,56.12,101.17,53.6,6.71
simplicio mendes,3,BR,64,1559251426,-7.85,-41.91,79.46,5.5
jasper,48,US,52,1559251323,33.83,-87.28,89.01,6.69
coihaique,75,CL,87,1559251426,-45.58,-72.07,55.4,10.29
saryozek,62,KZ,33,1559251427,44.36,77.98,63.8,5.19
burnie,76,AU,82,1559251427,-41.05,145.91,52.0,18.01
sur,1,OM,36,1559251427,22.57,59.53,95.66,11.48
roma,20,IT,82,1559251356,41.89,12.48,62.01,4.7
caravelas,0,BR,82,1559251427,-17.73,-39.27,76.94,4.27
santa maria,90,BR,100,1559251429,-29.69,-53.81,57.2,3.36
amahai,63,ID,94,1559251429,-3.31,129.0,81.0,6.6
ust-nera,99,RU,59,1559251429,64.57,143.24,48.68,3.8
yuanping,0,CN,32,1559251429,38.72,112.71,45.62,3.47
marsh harbour,0,BS,71,1559251430,26.54,-77.06,81.8,8.05
baglan,100,GB,93,1559251430,51.62,-3.81,61.0,13.87
dudinka,90,RU,96,1559251430,69.41,86.18,32.0,13.42
palmer,75,AU,93,1559251427,-34.85,139.16,53.01,1.12
grand forks,1,US,15,1559251404,47.91,-97.06,91.4,14.99
halifax,90,CA,81,1559251173,44.65,-63.58,55.99,10.29
la palma,100,CO,94,1559251431,5.36,-74.39,74.78,4.25
fukue,75,JP,77,1559251431,35.03,136.69,68.0,3.36
mackay,90,CA,33,1559251431,53.65,-115.58,71.6,5.82
zabaykalsk,3,CN,63,1559251431,49.64,117.33,44.72,3.76
mariakani,48,KE,92,1559251432,-3.87,39.47,71.0,7.54
dawei,96,MM,79,1559251432,14.07,98.19,81.62,6.4
ambon,0,FR,93,1559251432,47.55,-2.56,59.0,3.36
vila,0,IT,67,1559251432,45.18,8.4,66.0,4.7
katsuura,75,JP,77,1559251432,33.93,134.5,70.0,3.36
golspie,100,GB,100,1559251433,57.97,-3.98,45.0,11.41
baykit,99,RU,95,1559251433,61.68,96.39,51.02,4.7
las vegas,75,US,20,1559251216,36.17,-115.15,84.99,14.99
sfantu gheorghe,0,RO,88,1559251433,44.65,26.83,70.0,6.93
vanavara,100,RU,95,1559251433,60.35,102.28,51.2,7.4
bambanglipuro,65,ID,80,1559251434,-7.95,110.28,80.18,18.05
bayir,0,TR,82,1559251434,37.27,28.22,64.4,4.7
thiruvananthapuram,75,IN,94,1559251434,8.48,76.92,77.0,4.7
ranau,75,MY,83,1559251434,5.95,116.67,80.6,4.7
ayan,23,TR,96,1559251434,40.67,33.6,55.34,3.76
marti,75,CU,66,1559251434,21.15,-77.45,86.0,9.17
takoradi,100,GH,94,1559251435,4.89,-1.75,75.5,4.21
dali,0,CN,86,1559251435,25.6,100.24,54.98,2.46
oranjemund,0,ZA,92,1559251435,-28.55,16.43,56.78,9.55
nortelandia,37,BR,45,1559251435,-14.45,-56.8,82.7,3.62
lamu,100,ID,81,1559251435,0.57,122.3,77.66,5.95
chateauroux,0,FR,82,1559251436,43.72,0.65,64.4,2.91
ilam,0,IR,30,1559251436,33.64,46.42,71.6,2.24
rock springs,1,US,29,1559251398,41.59,-109.2,60.8,3.36
dolzhanskaya,92,RU,69,1559251436,46.63,37.8,71.72,11.07
alice springs,0,AU,69,1559251436,-23.7,133.88,37.4,6.93
liverpool,40,GB,77,1559251191,53.41,-2.98,62.01,10.29
mecca,0,SA,28,1559251437,21.43,39.83,94.94,3.89
wembley,12,GB,63,1559251393,51.55,-0.3,66.99,13.87
yuryevets,28,RU,97,1559251437,57.32,43.11,57.86,5.1
banjar,95,ID,97,1559251437,-7.37,108.54,72.44,1.43
salaga,93,GH,71,1559251437,8.55,-0.52,83.06,12.06
florianopolis,90,BR,94,1559251438,-27.6,-48.55,71.01,4.7
alenquer,20,BR,79,1559251438,-1.95,-54.74,84.2,6.93
lata,0,IN,46,1559251438,30.78,78.62,33.02,11.92
boende,43,CD,73,1559251438,-0.28,20.88,76.22,1.99
tucurui,89,BR,76,1559251438,-3.77,-49.67,81.44,2.35
chulman,87,RU,78,1559251439,56.84,124.9,39.86,5.46
sorong,64,ID,96,1559251170,-0.86,131.25,75.86,2.39
arzgir,1,RU,50,1559251439,45.37,44.21,71.72,7.29
imbituba,90,BR,94,1559251439,-28.24,-48.67,68.0,4.7
port hardy,20,CA,72,1559251439,50.7,-127.42,59.0,5.82
camacari,40,BR,78,1559251439,-12.7,-38.32,78.8,8.05
smithers,40,CA,33,1559251440,54.78,-127.17,75.2,4.7
havre-saint-pierre,90,CA,81,1559251440,50.23,-63.6,42.8,14.99
viedma,99,AR,64,1559251292,-40.81,-62.99,48.68,7.72
san cristobal,40,EC,62,1559251440,-0.39,-78.55,62.6,13.87
aksu,0,KZ,75,1559251441,52.04,76.93,46.4,2.24
ust-ordynskiy,0,RU,86,1559251441,52.8,104.75,41.0,4.47
ulladulla,0,AU,70,1559251441,-35.36,150.48,48.99,13.87
gravdal,32,NO,66,1559251441,59.79,5.78,48.2,13.87
trairi,100,BR,96,1559251441,-3.28,-39.27,74.42,5.57
nisia floresta,20,BR,83,1559251442,-6.09,-35.21,80.6,6.93
sambava,50,MG,97,1559251442,-14.27,50.17,66.5,2.77
aberdeen,20,US,29,1559251442,45.47,-98.49,88.0,10.29
praya,40,ID,83,1559251443,-8.71,116.27,77.0,8.05
zhaozhou,93,CN,72,1559251443,45.71,125.27,53.18,10.13
culpeper,90,US,69,1559251275,38.47,-78.0,89.01,5.82
tayoltita,0,MX,24,1559251443,24.11,-105.93,89.72,7.54
phan thiet,100,VN,87,1559251444,10.93,108.1,76.04,3.85
bellmead,40,US,58,1559251444,31.59,-97.11,88.0,5.82
umm kaddadah,98,SD,28,1559251444,13.6,26.69,91.34,6.29
nakhon si thammarat,96,TH,88,1559251444,8.43,99.96,76.76,1.5
dwarka,0,IN,24,1559251444,28.58,77.04,89.6,4.7
oistins,75,BB,88,1559251370,13.07,-59.53,78.8,21.92
skibbereen,75,IE,100,1559251445,51.55,-9.27,55.4,12.75
harper,90,US,65,1559251445,30.3,-99.24,86.0,6.93
mao,40,DO,66,1559251445,19.55,-71.08,86.0,13.87
bambey,1,SN,83,1559251445,14.7,-16.45,71.6,20.8
troyes,0,FR,93,1559251446,48.3,4.07,59.0,3.36
lourdes,20,SV,65,1559251446,13.73,-89.37,86.0,11.41
reconquista,96,AR,85,1559251446,-29.14,-59.64,63.8,8.84
khanpur,0,PK,8,1559251228,28.65,70.66,101.96,7.34
markova,0,RU,86,1559251447,52.21,104.21,41.0,4.47
bokhan,0,RU,61,1559251447,53.15,103.77,49.94,6.49
baker city,20,US,43,1559251324,44.77,-117.83,75.99,3.36
rio viejo,75,EC,69,1559251447,-2.26,-79.51,82.4,4.7
moron,100,VE,56,1559251448,10.49,-68.2,88.82,2.01
nioro,81,GM,17,1559251448,13.79,-15.05,99.44,17.22
kununurra,0,AU,34,1559251448,-15.77,128.74,66.2,10.29
puerto narino,75,CO,66,1559251448,-3.77,-70.38,87.8,4.7
sycow,0,PL,71,1559251449,51.31,17.72,55.0,2.24
chernyshevskiy,0,RU,77,1559251449,63.01,112.47,40.76,1.97
banepa,75,NP,93,1559251449,27.63,85.52,62.6,2.24
northam,75,GB,72,1559251449,51.04,-4.21,62.6,5.82
jacqueville,75,CI,94,1559251449,5.21,-4.42,78.8,10.29
takayama,100,JP,49,1559251450,36.14,137.25,72.0,8.01
santa catarina de tepehuanes,0,MX,11,1559251450,25.34,-105.72,79.64,16.06
vao,100,EE,53,1559251450,59.1,26.19,48.14,8.14
grand gaube,40,MU,77,1559251450,-20.01,57.66,68.0,6.93
belyy yar,0,RU,51,1559251450,53.6,91.39,62.6,8.95
praia da vitoria,20,PT,78,1559251170,38.73,-27.07,73.4,9.42
tabuk,95,PH,95,1559251451,17.41,121.44,66.68,2.51
